customer_id,gender,senior_citizen,tenure_months,contract,internet_service,online_security,tech_support,paperless_billing,payment_method,monthly_charges,total_charges,num_support_calls,churn
CUST-10000,Male,0,24,Two year,Fiber optic,Yes,No,No,Electronic check,95.65,2086.89,2,No
CUST-10001,Female,0,21,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,89.48,1760.33,4,No
CUST-10002,Female,1,20,Month-to-month,DSL,No,No,No,Bank transfer,79.75,1623.45,2,No
CUST-10003,Male,0,8,Month-to-month,Fiber optic,No,No,Yes,Credit card,95.73,691.54,3,Yes
CUST-10004,Male,0,44,Month-to-month,DSL,No,Yes,No,Bank transfer,56.63,2436.1,4,No
CUST-10005,Female,0,62,One year,Fiber optic,No,Yes,Yes,Bank transfer,82.94,5098.89,2,No
CUST-10006,Male,1,17,Month-to-month,Fiber optic,No,Yes,Yes,Credit card,65.4,1137.42,3,No
CUST-10007,Female,1,54,Month-to-month,DSL,No,Yes,Yes,Electronic check,96.72,5332.46,5,Yes
CUST-10008,Male,0,72,Month-to-month,Fiber optic,Yes,Yes,Yes,Electronic check,69.54,4561.42,0,No
CUST-10009,Male,0,72,One year,No,No,Yes,Yes,Credit card,33.01,2381.66,0,No
CUST-10010,Female,0,60,Two year,DSL,Yes,No,Yes,Credit card,56.09,3427.67,3,No
CUST-10011,Female,0,9,Month-to-month,No,No,No,No,Bank transfer,32.91,271.24,5,Yes
CUST-10012,Female,0,9,Month-to-month,DSL,No,Yes,No,Mailed check,31.82,278.57,4,Yes
CUST-10013,Female,0,40,Month-to-month,DSL,No,No,Yes,Electronic check,78.34,3125.41,3,No
CUST-10014,Female,0,26,One year,Fiber optic,Yes,Yes,No,Bank transfer,84.47,2089.41,4,No
CUST-10015,Female,0,3,Month-to-month,DSL,No,No,Yes,Credit card,51.79,148.46,3,Yes
CUST-10016,Female,0,18,Month-to-month,No,No,Yes,No,Electronic check,18.0,296.6,3,Yes
CUST-10017,Male,0,39,One year,Fiber optic,No,Yes,Yes,Electronic check,94.65,3751.05,1,No
CUST-10018,Female,0,23,Month-to-month,Fiber optic,No,No,Yes,Electronic check,104.53,2249.27,3,Yes
CUST-10019,Male,0,26,One year,Fiber optic,No,No,No,Electronic check,86.24,2164.42,2,No
CUST-10020,Female,0,9,Month-to-month,Fiber optic,No,No,No,Bank transfer,40.61,357.22,6,Yes
CUST-10021,Male,0,18,Two year,Fiber optic,No,No,Yes,Electronic check,78.54,1290.8,2,No
CUST-10022,Male,0,40,Month-to-month,Fiber optic,No,Yes,Yes,Mailed check,108.48,4185.85,1,No
CUST-10023,Female,0,17,Month-to-month,No,No,No,No,Electronic check,18.33,287.58,3,No
CUST-10024,Female,1,57,Month-to-month,Fiber optic,No,Yes,Yes,Credit card,56.24,2996.76,1,Yes
CUST-10025,Female,0,26,Month-to-month,Fiber optic,Yes,Yes,Yes,Bank transfer,91.74,2274.19,2,No
CUST-10026,Male,1,35,One year,Fiber optic,No,Yes,Yes,Bank transfer,92.86,3163.87,3,No
CUST-10027,Female,1,39,Month-to-month,Fiber optic,No,Yes,Yes,Credit card,74.09,2788.83,2,No
CUST-10028,Female,0,38,Month-to-month,DSL,Yes,No,No,Electronic check,39.94,1382.32,1,No
CUST-10029,Male,0,11,One year,Fiber optic,Yes,No,No,Credit card,72.29,757.47,1,No
CUST-10030,Male,0,13,Month-to-month,Fiber optic,No,No,Yes,Electronic check,92.84,1093.31,2,Yes
CUST-10031,Male,0,3,One year,DSL,No,Yes,No,Mailed check,46.85,131.78,3,No
CUST-10032,Male,0,20,One year,No,No,Yes,Yes,Electronic check,28.89,527.36,1,No
CUST-10033,Female,0,12,Month-to-month,Fiber optic,No,No,Yes,Credit card,84.86,942.02,4,Yes
CUST-10034,Female,1,17,One year,DSL,Yes,Yes,Yes,Mailed check,60.34,1000.54,0,No
CUST-10035,Male,0,21,Two year,No,No,Yes,Yes,Electronic check,22.22,484.83,2,No
CUST-10036,Female,0,29,Two year,No,Yes,Yes,No,Mailed check,18.0,485.05,1,No
CUST-10037,Female,0,23,Month-to-month,No,No,No,No,Credit card,20.66,479.72,1,Yes
CUST-10038,Male,0,22,Month-to-month,DSL,No,No,Yes,Electronic check,52.9,1054.97,3,No
CUST-10039,Female,0,33,Two year,Fiber optic,Yes,Yes,No,Electronic check,100.21,3142.73,2,No
CUST-10040,Male,0,25,One year,Fiber optic,No,No,Yes,Electronic check,82.4,1977.93,0,No
CUST-10041,Female,0,47,Month-to-month,Fiber optic,No,No,Yes,Electronic check,96.38,4150.32,1,No
CUST-10042,Female,0,25,Month-to-month,Fiber optic,No,Yes,Yes,Credit card,107.16,2667.01,2,Yes
CUST-10043,Male,0,68,One year,Fiber optic,No,Yes,Yes,Mailed check,77.64,4866.73,0,No
CUST-10044,Male,0,11,One year,Fiber optic,No,No,No,Electronic check,109.69,1230.87,2,Yes
CUST-10045,Female,0,20,Two year,No,No,No,No,Credit card,18.0,355.94,1,No
CUST-10046,Male,1,15,Two year,Fiber optic,Yes,No,No,Credit card,88.73,1345.82,0,No
CUST-10047,Female,0,29,Month-to-month,No,No,Yes,No,Credit card,25.68,688.56,3,No
CUST-10048,Female,0,11,One year,No,No,Yes,No,Electronic check,19.17,199.84,1,No
CUST-10049,Female,0,7,Month-to-month,DSL,Yes,No,Yes,Mailed check,58.88,414.59,3,No
